Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-8.518e+02,4.01687
-8.516e+02,4.01656
-8.514e+02,4.01594
-8.512e+02,4.01656
-8.510e+02,4.01625
-8.508e+02,4.01625
-8.506e+02,4.01594
-8.504e+02,4.01562
-8.502e+02,4.01562
-8.500e+02,4.01531
-8.498e+02,4.015
-8.496e+02,4.01531
-8.494e+02,4.01531
-8.492e+02,4.01562
-8.490e+02,4.01594
-8.488e+02,4.01687
-8.486e+02,4.01719
-8.484e+02,4.01469
-8.482e+02,4.01469
-8.480e+02,4.01406
-8.478e+02,4.01469
-8.476e+02,4.015
-8.474e+02,4.01531
-8.472e+02,4.01562
-8.470e+02,4.01594
-8.468e+02,4.01531
-8.466e+02,4.01594
-8.464e+02,4.01562
-8.462e+02,4.01531
-8.460e+02,4.01531
-8.458e+02,4.01594
-8.456e+02,4.015
-8.454e+02,4.01562
-8.452e+02,4.015
-8.450e+02,4.01438
-8.448e+02,4.01531
-8.446e+02,4.01562
-8.444e+02,4.01438
-8.442e+02,4.015
-8.440e+02,4.01406
-8.438e+02,4.01438
-8.436e+02,4.01406
-8.434e+02,4.01469
-8.432e+02,4.015
-8.430e+02,4.01531
-8.428e+02,4.01562
-8.426e+02,4.01531
-8.424e+02,4.01625
-8.422e+02,4.01594
-8.420e+02,4.01562
-8.418e+02,4.01531
-8.416e+02,4.015
-8.414e+02,4.01406
-8.412e+02,4.01313
-8.410e+02,4.01406
-8.408e+02,4.01375
-8.406e+02,4.01469
-8.404e+02,4.01469
-8.402e+02,4.01469
-8.400e+02,4.01438
-8.398e+02,4.01438
-8.396e+02,4.01375
-8.394e+02,4.01313
-8.392e+02,4.01313
-8.390e+02,4.0125
-8.388e+02,4.01219
-8.386e+02,4.01187
-8.384e+02,4.01094
-8.382e+02,4.01125
-8.380e+02,4.01125
-8.378e+02,4.01156
-8.376e+02,4.01156
-8.374e+02,4.01156
-8.372e+02,4.01156
-8.370e+02,4.01187
-8.368e+02,4.0125
-8.366e+02,4.0125
-8.364e+02,4.01125
-8.362e+02,4.01125
-8.360e+02,4.01187
-8.358e+02,4.01187
-8.356e+02,4.01187
-8.354e+02,4.01187
-8.352e+02,4.01219
-8.350e+02,4.01125
-8.348e+02,4.01125
-8.346e+02,4.01219
-8.344e+02,4.01063
-8.342e+02,4.00969
-8.340e+02,4.01031
-8.338e+02,4.01125
-8.336e+02,4.00938
-8.334e+02,4.01
-8.332e+02,4.01094
-8.330e+02,4.01156
-8.328e+02,4.01219
-8.326e+02,4.01219
-8.324e+02,4.01156
-8.322e+02,4.01094
-8.320e+02,4.01125
-8.318e+02,4.01094
-8.316e+02,4.01125
-8.314e+02,4.01187
-8.312e+02,4.01156
-8.310e+02,4.01125
-8.308e+02,4.01
-8.306e+02,4.01031
-8.304e+02,4.01156
-8.302e+02,4.01187
-8.300e+02,4.01094
-8.298e+02,4.01156
-8.296e+02,4.0125
-8.294e+02,4.0125
-8.292e+02,4.01219
-8.290e+02,4.01187
-8.288e+02,4.01187
-8.286e+02,4.01156
-8.284e+02,4.01
-8.282e+02,4.01031
-8.280e+02,4.01125
-8.278e+02,4.01125
-8.276e+02,4.01187
-8.274e+02,4.01031
-8.272e+02,4.00844
-8.270e+02,4.01031
-8.268e+02,4.00969
-8.266e+02,4.00906
-8.264e+02,4.00906
-8.262e+02,4.01
-8.260e+02,4.01063
-8.258e+02,4.00969
-8.256e+02,4.01031
-8.254e+02,4.01031
-8.252e+02,4.01063
-8.250e+02,4.00938
-8.248e+02,4.00969
-8.246e+02,4.01
-8.244e+02,4.01031
-8.242e+02,4.00969
-8.240e+02,4.00969
-8.238e+02,4.00906
-8.236e+02,4.01
-8.234e+02,4.01
-8.232e+02,4.00969
-8.230e+02,4.00938
-8.228e+02,4.00906
-8.226e+02,4.01063
-8.224e+02,4.00969
-8.222e+02,4.00875
-8.220e+02,4.01
-8.218e+02,4.00969
-8.216e+02,4.01031
-8.214e+02,4.00969
-8.212e+02,4.00906
-8.210e+02,4.00906
-8.208e+02,4.00781
-8.206e+02,4.00906
-8.204e+02,4.00781
-8.202e+02,4.00625
-8.200e+02,4.00563
-8.198e+02,4.00625
-8.196e+02,4.00625
-8.194e+02,4.00719
-8.192e+02,4.00594
-8.190e+02,4.00594
-8.188e+02,4.00719
-8.186e+02,4.00781
-8.184e+02,4.0075
-8.182e+02,4.0075
-8.180e+02,4.00938
-8.178e+02,4.01
-8.176e+02,4.00938
-8.174e+02,4.00938
-8.172e+02,4.00938
-8.170e+02,4.00906
-8.168e+02,4.00875
-8.166e+02,4.00781
-8.164e+02,4.0075
-8.162e+02,4.00719
-8.160e+02,4.00719
-8.158e+02,4.00687
-8.156e+02,4.00656
-8.154e+02,4.00719
-8.152e+02,4.00563
-8.150e+02,4.00625
-8.148e+02,4.00563
-8.146e+02,4.00594
-8.144e+02,4.005
-8.142e+02,4.00469
-8.140e+02,4.00375
-8.138e+02,4.00469
-8.136e+02,4.00469
-8.134e+02,4.00531
-8.132e+02,4.005
-8.130e+02,4.00563
-8.128e+02,4.00531
-8.126e+02,4.00531
-8.124e+02,4.00594
-8.122e+02,4.005
-8.120e+02,4.00438
-8.118e+02,4.005
-8.116e+02,4.00625
-8.114e+02,4.00594
-8.112e+02,4.00656
-8.110e+02,4.00594
-8.108e+02,4.00531
-8.106e+02,4.00406
-8.104e+02,4.00344
-8.102e+02,4.00438
-8.100e+02,4.00375
-8.098e+02,4.00438
-8.096e+02,4.00375
-8.094e+02,4.00531
-8.092e+02,4.00594
-8.090e+02,4.005
-8.088e+02,4.00563
-8.086e+02,4.005
-8.084e+02,4.00438
-8.082e+02,4.00469
-8.080e+02,4.00594
-8.078e+02,4.00531
-8.076e+02,4.00531
-8.074e+02,4.00563
-8.072e+02,4.00625
-8.070e+02,4.00594
-8.068e+02,4.00594
-8.066e+02,4.00625
-8.064e+02,4.00469
-8.062e+02,4.00531
-8.060e+02,4.00438
-8.058e+02,4.00438
-8.056e+02,4.00563
-8.054e+02,4.00563
-8.052e+02,4.00563
-8.050e+02,4.00563
-8.048e+02,4.005
-8.046e+02,4.00469
-8.044e+02,4.00438
-8.042e+02,4.00438
-8.040e+02,4.005
-8.038e+02,4.00594
-8.036e+02,4.00656
-8.034e+02,4.00719
-8.032e+02,4.00875
-8.030e+02,4.00906
-8.028e+02,4.00469
-8.026e+02,4.00438
-8.024e+02,4.00469
